0	1.04E+01	1.94E-05	0
0.1	1.08E+01	1.64E-05	0
0.2	1.17E+01	1.35E-05	0
0.3	1.19E+01	1.25E-05	0
0.4	1.26E+01	1.13E-05	0
0.5	9.85E+00	1.14E-05	0
0.6	1.12E+01	1.06E-05	0
0.7	1.06E+01	1.01E-05	0
0.8	8.57E+00	1.02E-05	0
0.9	6.88E+00	9.67E-06	0
1	3.04E+00	7.85E-06	0
0	1.20E+01	1.89E-05	10
0.1	1.29E+01	1.42E-05	10
0.2	1.18E+01	1.30E-05	10
0.3	1.22E+01	1.15E-05	10
0.4	1.19E+01	1.02E-05	10
0.5	1.16E+01	9.43E-06	10
0.6	1.07E+01	9.80E-06	10
0.7	9.86E+00	9.11E-06	10
0.8	8.86E+00	8.68E-06	10
0.9	6.49E+00	8.23E-06	10
1	2.92E+00	7.82E-06	10
0	1.29E+01	1.43E-05	20
0.1	1.32E+01	1.26E-05	20
0.2	1.14E+01	1.26E-05	20
0.3	1.30E+01	1.14E-05	20
0.4	1.27E+01	1.02E-05	20
0.5	1.14E+01	9.96E-06	20
0.6	9.67E+00	9.76E-06	20
0.7	9.48E+00	9.14E-06	20
0.8	8.82E+00	9.37E-06	20
0.9	6.95E+00	8.33E-06	20
1	2.96E+00	7.80E-06	20
0	1.24E+01	1.37E-05	30
0.1	1.33E+01	1.21E-05	30
0.2	1.28E+01	1.13E-05	30
0.3	1.32E+01	1.13E-05	30
0.4	1.22E+01	1.05E-05	30
0.5	1.15E+01	9.80E-06	30
0.6	1.07E+01	9.24E-06	30
0.7	9.92E+00	9.67E-06	30
0.8	8.72E+00	8.76E-06	30
0.9	5.95E+00	8.84E-06	30
1	3.00E+00	7.78E-06	30
0	1.27E+01	1.52E-05	40
0.1	1.31E+01	1.21E-05	40
0.2	1.28E+01	1.16E-05	40
0.3	1.29E+01	1.12E-05	40
0.4	1.25E+01	1.06E-05	40
0.5	1.18E+01	1.01E-05	40
0.6	1.10E+01	9.50E-06	40
0.7	1.05E+01	9.16E-06	40
0.8	7.87E+00	9.08E-06	40
0.9	6.76E+00	8.42E-06	40
1	3.03E+00	7.77E-06	40
0	1.18E+01	1.82E-05	50
0.1	1.33E+01	1.24E-05	50
0.2	1.25E+01	1.23E-05	50
0.3	1.27E+01	1.08E-05	50
0.4	1.25E+01	1.03E-05	50
0.5	1.16E+01	9.82E-06	50
0.6	9.30E+00	9.85E-06	50
0.7	9.70E+00	9.13E-06	50
0.8	8.39E+00	9.23E-06	50
0.9	7.00E+00	8.34E-06	50
1	3.07E+00	7.75E-06	50
0	1.19E+01	1.84E-05	60
0.1	1.31E+01	1.28E-05	60
0.2	1.29E+01	1.18E-05	60
0.3	1.25E+01	1.14E-05	60
0.4	1.26E+01	1.06E-05	60
0.5	1.15E+01	9.92E-06	60
0.6	1.02E+01	9.94E-06	60
0.7	1.01E+01	9.01E-06	60
0.8	8.75E+00	9.24E-06	60
0.9	6.96E+00	8.34E-06	60
1	3.11E+00	7.74E-06	60
0	1.29E+01	1.41E-05	70
0.1	1.33E+01	1.17E-05	70
0.2	1.26E+01	1.24E-05	70
0.3	1.30E+01	1.14E-05	70
0.4	1.21E+01	1.04E-05	70
0.5	1.13E+01	9.58E-06	70
0.6	1.06E+01	9.88E-06	70
0.7	9.46E+00	9.14E-06	70
0.8	8.64E+00	8.75E-06	70
0.9	6.29E+00	8.85E-06	70
1	3.14E+00	7.73E-06	70
0	1.26E+01	1.64E-05	80
0.1	1.33E+01	1.20E-05	80
0.2	1.30E+01	1.22E-05	80
0.3	1.33E+01	1.18E-05	80
0.4	1.19E+01	1.10E-05	80
0.5	1.16E+01	1.01E-05	80
0.6	1.05E+01	9.82E-06	80
0.7	9.27E+00	9.63E-06	80
0.8	8.31E+00	9.26E-06	80
0.9	6.15E+00	8.87E-06	80
1	3.17E+00	7.72E-06	80
0	1.26E+01	1.46E-05	90
0.1	1.35E+01	1.20E-05	90
0.2	1.31E+01	1.22E-05	90
0.3	1.28E+01	1.11E-05	90
0.4	1.20E+01	1.14E-05	90
0.5	1.15E+01	1.01E-05	90
0.6	1.04E+01	9.76E-06	90
0.7	9.31E+00	9.12E-06	90
